ReleasedYearQuarterNumber,ConsolidatedContribution,HealthContribution,PensionContribution
20071,"8,391,857.74","4,881,886.45","3,509,971.29"
20072,"12,851,810.10","7,530,525.65","5,319,279.86"
20072,"12,947,082.71","7,742,244.93","5,226,613.69"
20072,"6,237,178.12","3,626,720.44","2,670,106.08"
20073,"7,050,811.20","4,304,292.31","2,746,518.89"
20073,"11,887,613.68","6,918,082.94","4,969,530.74"
20073,"13,053,874.92","7,746,152.40","5,374,132.97"
20074,"7,149,144.15","4,294,447.07","2,854,697.08"
20074,"13,851,995.60","8,266,381.33","5,652,293.77"
20074,"13,453,435.80","8,024,948.32","5,428,487.48"
20081,"3,217,245.52","2,033,343.40","1,252,605.93"
20081,"12,540,120.62","7,537,421.02","5,002,699.60"
20081,"3,773,600.01","2,242,229.59","1,531,370.42"
20082,"6,883,607.39","4,175,505.23","2,708,102.16"
20082,"13,021,308.29","7,809,544.59","5,211,763.70"
20082,"10,521,718.91","6,195,990.82","4,399,088.35"
20083,"11,884,015.45","7,038,508.31","4,845,507.14"
20083,"6,527,059.37","3,870,047.69","2,666,011.68"
20083,"10,802,777.23","6,370,712.86","4,432,064.37"
20084,"14,947,467.30","8,810,006.22","6,137,461.08"
20084,"11,030,113.54","6,490,645.69","4,539,467.85"
20084,"7,426,633.28","4,362,780.12","3,063,853.16"
20091,"9,650,509.74","5,622,427.41","4,028,082.33"
20091,"14,147,590.24","8,128,460.97","6,051,675.69"
20091,"12,593,919.45","7,335,961.89","5,257,957.56"
20092,"6,202,119.44","3,623,875.88","2,578,243.56"
20092,"15,028,139.78","8,627,869.06","6,400,270.72"
20092,"9,032,228.51","5,285,619.01","3,746,609.50"
20093,"6,728,137.84","3,782,880.83","2,945,257.01"
20093,"13,206,059.40","7,778,577.03","5,427,482.37"
20093,"12,827,005.50","7,545,598.87","5,281,406.63"
20094,"9,468,270","5,534,919.35","3,933,350.65"
20094,"8,292,708.92","4,891,711.46","3,400,997.46"
20094,"15,679,782.50","9,090,481.08","6,589,301.42"
20101,"8,770,955.60","5,291,368.44","3,479,587.16"
20101,"12,596,417.08","7,412,846.64","5,183,570.44"
20101,"14,954,521.29","8,920,255.98","6,034,265.31"
20102,"11,273,557.59","6,642,631.35","4,630,926.24"
20102,"10,836,967.79","6,467,793.29","4,449,604.98"
20102,"10,852,986.02","6,516,342.91","4,336,643.11"
20103,"10,142,512.49","6,008,477.36","4,134,035.13"
20103,"7,463,327.12","4,414,670.78","3,048,656.34"
20103,"11,237,128.71","6,531,002.32","4,706,126.39"
20104,"11,542,195.73","6,780,515.43","4,761,680.30"
20104,"12,057,866.36","7,143,014.34","4,914,852.02"
20104,"11,636,592.91","6,855,747.70","4,780,845.21"
20111,"17,252,332.39","10,140,614.96","7,111,717.43"
20111,"6,835,366.20","3,978,140","2,857,226.20"
20111,"10,132,085.22","5,974,687.51","4,157,397.71"
20112,"10,428,385.02","6,393,956.17","4,034,428.85"
20112,"12,448,809.45","7,253,369.35","5,195,440.10"
20112,"13,135,694.01","7,791,869.77","5,343,824.24"
20113,"8,599,935.16","5,028,890.48","3,571,044.68"
20113,"9,865,048.99","5,809,714.64","4,055,334.35"
20113,"11,153,199.71","6,610,465.27","4,542,734.44"
20114,"10,944,550.35","6,470,210.12","4,474,340.23"
20114,"12,269,235.17","7,188,430.98","5,080,929.53"
20114,"14,202,589.09","8,379,814.21","5,822,774.88"
20121,"18,641,973.51","10,945,364.41","7,696,609.10"
20121,"13,436,740.53","7,861,203.65","5,575,536.88"
20121,"13,198,162.78","7,320,898.53","5,877,264.25"
20122,"13,770,189.99","7,950,838.25","5,819,351.74"
20122,"16,724,010.09","9,889,751.12","6,834,258.97"
20122,"9,571,597.69","5,705,338.18","3,866,259.51"
20123,"12,256,991.07","7,141,390.73","5,115,600.34"
20123,"8,620,111.97","5,100,019.44","3,520,092.53"
20123,"15,451,777.79","9,082,714.49","6,369,063.30"
20124,"12,562,254.74","7,399,162.86","5,163,091.88"
20124,"11,759,567.01","6,856,367.35","4,903,199.66"
20124,"11,063,488.68","6,427,917.64","4,635,571.04"
20131,"13,877,682.07","8,145,844.10","5,731,837.97"
20131,"18,982,578.55","11,161,468.12","7,821,110.43"
20131,"13,481,444.75","7,883,010.40","5,598,434.35"
20132,"12,538,613.64","7,294,954.14","5,243,659.50"
20132,"10,250,527.35","6,052,438.61","4,198,088.74"
20132,"11,888,675.39","6,844,507.13","5,044,168.26"
20133,"7,888,399.75","4,634,476.72","3,253,923.03"
20133,"10,537,561.67","6,095,861.46","4,441,700.21"
20133,"19,794,115.09","11,600,837.14","8,193,277.95"
20134,"15,090,071.30","8,911,155.91","6,178,915.39"
20134,"9,980,814.62","5,778,880.01","4,201,934.61"
20134,"15,070,466.08","8,848,442.73","6,222,023.35"
20141,"16,096,489.19","9,483,720.32","6,612,768.87"
20141,"12,606,020.39","7,412,388.08","5,193,632.31"
20141,"18,912,067.70","11,074,698.72","7,837,368.98"
20142,"17,458,137.48","10,270,949.84","7,187,187.64"
20142,"11,596,505.55","6,662,489.21","4,934,016.34"
20142,"16,706,105.02","9,822,479.87","6,883,625.15"
20143,"8,963,548.37","5,113,990.32","3,849,558.05"
20143,"16,371,887.54","9,633,427.48","6,738,460.06"
20143,"9,712,485.43","5,706,658.34","4,005,827.09"
20144,"17,168,106.04","10,063,884.88","7,104,221.16"
20144,"13,388,826.17","7,796,837.21","5,591,988.96"
20144,"18,099,227.48","10,625,845.08","7,473,382.40"
20151,"16,885,070.86","9,904,815.78","6,980,255.08"
20151,"15,193,492.23","8,871,306.67","6,322,185.56"
20151,"21,583,362.29","12,670,986.96","8,912,375.33"
20152,"10,593,306.50","6,184,711.30","4,408,595.20"
20152,"10,274,895.90","6,002,094.78","4,272,801.12"
20152,"12,763,141.28","7,402,814.53","5,360,326.75"
20153,"6,678,953.49","3,965,006.38","2,713,947.11"
20153,"13,676,692.22","8,129,562.53","5,547,129.69"
20153,"20,335,237.66","11,952,509.37","8,382,729.87"
20154,"17,461,241.17","10,423,360.87","7,037,880.30"
20154,"24,051,615.02","14,340,012.06","9,711,602.96"
20154,"21,976,178.47","13,077,165.88","8,899,012.59"
20161,"15,218,288.58","9,044,995.52","6,173,293.06"
20161,"21,407,653.65","12,815,952.96","8,591,700.69"
20161,"23,143,732.32","13,856,232.90","9,287,499.42"
20162,"6,106,370.78","3,593,763.72","2,512,607.06"
20162,"20,908,631.67","12,548,428.23","8,360,203.44"
20162,"23,631,871.49","14,135,318.41","9,496,553.08"
20163,"23,072,177.46","13,931,432.69","9,140,744.77"
20163,"19,577,113.80","11,949,459.88","7,627,653.92"
20163,"16,472,471.29","9,964,213.66","6,508,257.63"
20164,"23,243,440.46","14,089,152.15","9,154,288.31"
20164,"17,710,054.11","10,830,553.33","6,879,500.78"
20164,"10,919,809.35","6,632,719.68","4,287,089.67"
20171,"20,036,687.85","12,236,944.57","7,799,743.28"
20171,"23,776,277.05","14,556,586.57","9,219,690.48"
20171,"18,115,008","11,008,572.31","7,106,435.69"
20172,"20,214,719.01","12,397,457.01","7,817,262"
20172,"17,083,316.01","10,422,945.42","6,660,370.59"
20172,"17,237,946.69","10,522,010.33","6,715,936.36"
20173,"17,201,981.10","10,524,420.48","6,677,560.62"
20173,"14,625,800.64","9,016,221.60","5,609,579.04"
20173,"14,029,215.21","8,760,022.66","5,269,192.55"
20174,"27,903,554.85","17,637,969.80","10,265,585.05"
20174,"22,748,478.87","14,284,225.33","8,464,253.54"
20174,"28,907,129.35","18,243,474.31","10,663,655.04"
20181,"27,220,161.75","17,276,031.36","9,944,130.39"
20181,"7,692,612.95","4,700,902.80","2,991,710.15"
20181,"16,646,055.24","10,421,438.19","6,224,617.05"
20182,"22,038,242.38","13,896,392.57","8,141,849.81"
20182,"23,763,275.88","14,994,068.46","8,769,207.42"
20182,"18,778,877.56","11,912,753.27","6,866,124.29"
20183,"16,315,621.43","10,444,779.23","5,870,842.20"
20183,"15,829,740.02","10,046,256.04","5,783,483.98"
20183,"18,000,817.96","11,573,413.28","6,427,404.68"
20184,"29,530,257.63","19,025,838.25","10,504,419.38"
20184,"29,577,987.68","19,066,246.09","10,511,741.59"
20184,"23,845,158.17","15,438,715.63","8,406,442.54"
20191,"23,988,225.48","15,253,807.48","8,734,418"
20191,"25,613,248.96","16,546,564.50","9,066,684.46"
20191,"22,218,098.42","14,284,024.50","7,934,073.92"
20192,"32,279,255.90","20,787,787.51","11,491,468.39"
20192,"16,254,520.99","10,385,688.78","5,868,832.21"
20192,"24,045,257.78","15,552,840.05","8,492,417.73"
20193,"26,124,919.58","17,004,351.96","9,120,567.62"
20193,"11,344,537","7,398,681.64","3,945,855.36"
20193,"27,093,847.88","17,410,336.54","9,683,511.34"
20194,"14,495,925.12","9,391,840.68","5,104,084.44"
20194,"37,683,596.87","24,357,402.25","13,326,194.62"
20194,"30,047,704.42","19,711,589.67","10,336,114.75"
20201,"19,702,818.17","12,859,932.51","6,842,885.66"
20201,"35,745,676.86","23,519,914.93","12,225,761.93"
20201,"43,873,750.47","28,680,836.62","15,192,913.85"
20202,"37,261,682.28","24,460,349.93","12,801,332.35"
20202,"22,805,290.28","14,925,628.05","7,879,662.23"
20202,"28,451,977.18","18,572,498.09","9,879,479.09"
20203,"23,467,310.44","15,247,966.50","8,219,343.94"
20203,"22,637,260.17","14,796,199.57","7,841,060.60"
20203,"24,879,114.11","16,281,676.21","8,597,437.90"
20204,"19,383,866.82","12,560,400.35","6,823,466.47"
20204,"20,175,103.93","13,302,113.97","6,872,989.96"
20204,"19,634,163.58","12,771,846.72","6,862,316.86"
20211,"23,346,240.47","15,315,256.74","8,030,983.73"
20211,"24,203,791.90","15,767,341.67","8,436,450.23"
20211,"20,061,583.33","13,089,674.39","6,971,908.94"
20212,"38,158,374.13","25,043,865.77","13,114,508.36"
20212,"19,610,015.10","12,762,586.08","6,847,429.02"
20212,"13,699,573.32","8,913,437","4,786,136.32"
20213,"33,925,231.50","22,293,373.60","11,631,857.90"
20213,"25,087,434.26","16,529,222.12","8,558,212.14"
20213,"14,755,362.86","9,613,797.41","5,141,565.45"
20214,"49,666,676.76","32,657,905.61","17,008,771.15"
20214,"17,263,672.93","11,291,187.83","5,972,485.10"
20214,"27,039,880.88","17,701,775.71","9,338,105.17"
20221,"26,663,031.43","17,449,279.63","9,213,751.80"
20221,"38,397,488.71","25,154,533.94","13,242,954.77"
20221,"29,449,854.57","19,081,084.28","10,368,770.29"
20222,"27,282,587.17","17,726,060.88","9,556,526.29"
20222,"27,894,401.04","18,356,227.66","9,538,173.38"
20222,"28,754,956.31","18,940,440.01","9,814,516.30"
20223,"26,368,875.38","17,370,543.34","8,998,332.04"
20223,"27,603,599.20","18,079,412.36","9,524,186.84"
20223,"28,344,101.75","18,657,457.99","9,686,643.76"
20224,"30,317,891.92","19,744,683.75","10,573,208.17"
20224,"25,387,330.82","16,725,628.17","8,661,702.65"
20224,"546,891.42","186,614.20","360,277.22"
